galaxy,chi2,chi2_red,n_dof,success,r_core,AIC,BIC,convergence_info,log_rho_s,log_r_s,Y_disk,Y_bulge
UGC05716,19.314783937932724,2.4143479922415905,8,True,1.9181949578878423,27.314783937932724,29.254410537084723,"DE: nit=40, nfev=2515",6.501142018310596,1.0621480022065417,1.2,1.4862361220410507
UGC02487,54.21961130590999,4.170739331223846,13,True,1.5246231664753787,62.21961130590999,65.55246468213485,"DE: nit=50, nfev=3230",6.706286199135991,1.5286995937704777,1.2,1.2830388866715623
NGC3109,7.0080684014508785,0.3337175429262323,21,True,2.6785026314504243,15.008068401450878,19.88357170092368,"DE: nit=33, nfev=2090",6.317860377730593,1.2781228118959866,0.21060066934301377,0.9756216114794364
F568-1,2.803222652528095,0.3504028315660119,8,True,1.6562959614162256,10.803222652528095,12.742849251680097,"DE: nit=25, nfev=1675",7.005845645036288,1.0945907101360552,0.7621832619470833,0.5196517253477659
NGC0100,3.2504730953254826,0.20315456845784266,16,True,1.8890867405959055,11.250473095325482,15.233402189541446,"DE: nit=36, nfev=2305",6.56538252220955,1.1791456075922373,0.5086504898414856,0.9837667683727055
NGC0055,10.359157387095754,0.6093621992409267,17,True,1.9522036008581947,18.359157387095756,22.537247137989446,"DE: nit=31, nfev=2015",6.322126125483389,1.250995478588327,0.4799898505344089,0.8060290092139631
NGC5985,204.57034519072312,7.054149834162866,29,True,0.8672262577356019,212.57034519072312,218.55637543658904,"DE: nit=46, nfev=2930",9.021378091551643,0.4720850600218823,0.30876336030852874,1.5
NGC1003,61.06871542314546,1.9083973569732957,32,True,1.9863986887120744,69.06871542314546,75.4027911769699,"DE: nit=30, nfev=1965",5.927516524550183,1.5670433001843587,0.9326631034395987,0.6771980139696088
NGC6674,25.27063844308684,2.297330767553349,11,True,1.9778498453137208,33.27063844308684,36.10283924749568,"DE: nit=64, nfev=4230",5.024043209928463,2.4393296940982006,1.1480293607179437,1.499630239170021
NGC4013,23.28603037055536,0.727688449079855,32,True,1.989419348554013,31.28603037055536,37.6201061243798,"DE: nit=65, nfev=4055",5.102933871629271,2.430576972766626,0.5178166953422334,1.5
UGC06614,1.5855911401870648,0.17617679335411832,9,True,1.824601558532527,9.585591140187065,11.845388570033212,"DE: nit=55, nfev=3450",6.093751317045172,1.7374222938582606,0.1,0.5598069970327345
NGC4100,25.5110760569792,1.27555380284896,20,True,1.1682287380090348,33.5110760569792,38.22329137837098,"DE: nit=34, nfev=2195",8.411161163829691,0.4771554855253312,0.5177338607453575,0.7774949034109241
NGC5907,89.4715848916082,5.964772326107213,15,True,39.69066311536815,97.4715848916082,101.24934080827396,"DE: nit=43, nfev=2915",5.058334869733439,2.440794735515456,1.0149363622712004,0.9818788639947116
UGC05829,2.479426311405039,0.35420375877214844,7,True,1.9252201840096224,10.479426311405039,12.071007402598521,"DE: nit=31, nfev=1965",6.243350952001213,1.1976225379293108,1.2,0.7528188309648698
NGC4088,6.0011668815979835,0.7501458601997479,8,True,1.9982925492626615,14.001166881597984,15.940793480749985,"DE: nit=38, nfev=2395",5.097533367844904,2.404089753071196,0.4164268755820471,1.0627578713522647
NGC5005,0.8296555188907407,0.05926110849219577,14,True,30.150898283806697,8.82965551889074,12.391142550475399,"DE: nit=46, nfev=3320",6.025409210130472,2.3214066363288826,0.6178153270579979,0.49316738990276365
NGC7793,34.193090951892216,0.8141212131402908,42,True,1.8703667328724833,42.193090951892216,49.5076565378486,"DE: nit=25, nfev=1625",6.732300453028617,0.9823045405690802,0.7010301176553159,1.1260981125966905
UGC08490,11.621760647414096,0.4469907941313114,26,True,1.799571623034026,19.621760647414096,25.226550174062716,"DE: nit=44, nfev=2760",7.075580214214217,0.7566387133395289,1.2,0.43149282406736955
NGC2955,74.78694525149183,3.7393472625745914,20,True,1.5527372568993563,82.78694525149183,87.49916057288361,"DE: nit=36, nfev=2565",6.77706368675701,1.4369019691737839,0.18026748891818273,0.8485246563294049
