galaxy,profile,chi2,chi2_red,n_dof,AIC,BIC,success,r_core
D631-7,sidm,4.764397387964385,0.39703311566369875,12,12.764397387964385,15.85475227692351,True,3.0551368647590635
NGC2683,sidm,6.661931001569829,0.9517044287956898,7,14.66193100156983,16.253512092763312,True,1.373570594299441
NGC2366,sidm,3.60676501787153,0.1639438644487059,22,11.60676501787153,16.639151169957458,True,1.7854890848174885
IC4202,sidm,381.3913465621669,13.62111952007739,28,389.3913465621669,395.2542901733658,True,1.311252763490635
UGC11914,sidm,25.18354457483401,0.4128449930300657,61,33.18354457483401,41.88109365441656,True,80.56447820833667
UGC03205,sidm,170.11490880427334,3.8662479273698485,44,178.11490880427334,185.5997128479049,True,1.9418462302632113
F563-1,sidm,4.418688625706052,0.3398991250543117,13,12.418688625706052,15.751542001930916,True,1.7782217995574108
NGC2903,sidm,46.352134928649626,1.5450711642883208,30,54.352134928649626,60.45757702711427,True,1.1575021690191847
UGC01230,sidm,3.5764561463175557,0.5109223066167937,7,11.576456146317556,13.168037237511038,True,1.8342363371621
NGC0289,sidm,47.812568036380505,1.9921903348491876,24,55.812568036380505,61.14138607708132,True,1.8320120330704566
NGC7814,sidm,5.05363688144509,0.3609740629603636,14,13.05363688144509,16.61512391302975,True,1.5825023382297627
DDO154,sidm,3.6251463368595855,0.4531432921074482,8,11.625146336859586,13.564772936011586,True,1.7446588828870817
UGC06446,sidm,9.482905552838535,0.7294542732952719,13,17.482905552838535,20.8157589290634,True,1.8420388568688773
UGC05750,sidm,0.5605545892930762,0.09342576488217937,6,8.560554589293076,9.770894961269258,True,1.9074016908389995
NGC6946,sidm,75.18828500865173,1.3923756483083654,54,83.18828500865173,91.4300570508374,True,1.7869724246452445
UGC08699,sidm,25.95690250304185,0.7015379054876175,37,33.956902503041846,40.81119076985908,True,1.8731349208740076
UGC05986,sidm,18.828311691347565,1.711664699213415,11,26.828311691347565,29.660512495756407,True,1.738251360541051
NGC2998,sidm,34.67644849350122,3.8529387215001356,9,42.67644849350122,44.936245923347364,True,1.9409362514529689
NGC5033,sidm,51.64476295564713,2.869153497535952,18,59.64476295564713,64.00893276908039,True,1.255752154356757
UGC05721,sidm,12.8492699351803,0.6762773650094895,19,20.849269935180303,25.3912467988969,True,1.4816136312865396
NGC3521,sidm,4.554028963072908,0.12308186386683535,37,12.55402896307291,19.408317229890137,True,1.798707585228479
UGC08550,sidm,18.282886816454003,2.611840973779143,7,26.282886816454003,27.874467907647485,True,1.743698210292757
UGC11820,sidm,12.974563000519696,2.162427166753283,6,20.974563000519694,22.184903372495878,True,1.9530156258010907
NGC5055,sidm,27.14884856198699,1.1312020234161246,24,35.148848561986995,40.477666602687805,True,1.6986513719979317
UGC03546,sidm,11.187753253495224,0.4302982020575086,26,19.187753253495224,24.792542780143847,True,1.5871310265519762
NGC4183,sidm,5.784800373407318,0.3044631775477536,19,13.784800373407318,18.326777237123917,True,1.850792530153955
UGC07089,sidm,0.9922594912599815,0.12403243640749768,8,8.992259491259981,10.931886090411982,True,1.9457273177662238
UGC07151,sidm,5.540168721763245,0.7914526745376065,7,13.540168721763244,15.131749812956727,True,1.7700780576775095
UGCA444,sidm,11.637579863046446,0.3636743707202014,32,19.637579863046447,25.971655616870883,True,1.0774280823392053
NGC4157,sidm,3.3744499812891227,0.25957307548377867,13,11.374449981289123,14.707303357513988,True,1.9710957438924277
NGC2841,sidm,63.88899155119418,1.3888911206781345,46,71.88899155119418,79.53708357290677,True,1.6906796666191217
UGC06787,sidm,595.7774209673457,8.892200312945459,67,603.7774209673457,612.828140475511,True,1.6805948130246742
UGC02885,sidm,10.105027773725224,0.6736685182483483,15,18.105027773725226,21.882783690390987,True,1.6635399729389657
NGC2915,sidm,10.314271842707178,0.3967027631810453,26,18.31427184270718,23.919061369355802,True,1.8674801788804891
NGC3726,sidm,15.522373495082512,1.940296686885314,8,23.522373495082512,25.46200009423451,True,2.0010606061919973
UGC07603,sidm,3.2545364502460092,0.40681705628075115,8,11.25453645024601,13.19416304939801,True,1.5699159200940993
UGC05253,sidm,135.68630132815431,1.9664681351906423,69,143.68630132815431,152.84813909274789,True,1.385327964905639
UGC12506,sidm,15.305555872467284,0.5668724397210105,27,23.305555872467284,29.04150469040787,True,1.2833571357809939
NGC6503,sidm,30.581436137141452,1.1326457828570908,27,38.58143613714145,44.317384955082034,True,1.6932487770990798
NGC6195,sidm,35.70042296368445,1.8789696296676028,19,43.70042296368445,48.24239982740105,True,1.9104185762647423
NGC4010,sidm,16.012516474361785,2.001564559295223,8,24.012516474361785,25.95214307351379,True,1.9079533274936713
UGC07125,sidm,3.9179341394223557,0.43532601549137284,9,11.917934139422355,14.177731569268502,True,1.5899082306184922
UGC02916,sidm,271.6896337744452,6.966400866011416,39,279.6896337744452,286.7344342372195,True,1.754242959025043
NGC0024,sidm,22.902168137277428,0.9160867254910972,25,30.902168137277428,36.37135145722333,True,1.6853660088811864
NGC7331,sidm,21.13790674639788,0.6605595858249338,32,29.13790674639788,35.471982500222325,True,1.7473002264122035
UGC08286,sidm,44.67625220737038,3.436634785182337,13,52.67625220737038,56.00910558359524,True,1.8181308334838504
